* Block Type = 96-Well 0.2-mL Block
* Chemistry = TAQMAN
* Date Created = 2015-12-22 09:15:13 AM PST
* Experiment Barcode = NA
* Experiment Comment = Prime Star GXL mg/dntp start
grid screen 40, 45, 50 deg
* Experiment File Name = D:\Users\INSTR-USER\Desktop\Yarrow\Results\122115\2015-12_21_1_Prime_Star_GXL_Pol_kinetics.eds
* Experiment Name = 2015-12_21_1_Prime_Star_GXL_Pol_kinetics
* Experiment Run End Time = 2015-12-21 10:21:47 AM PST
* Experiment Type = Custom
* Instrument Name =       quantstudio3
* Instrument Serial Number = 272320216
* Instrument Type = QuantStudio® 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage4, Step1
* User Name = Yarrow

[Multicomponent Data]
Well Position	Cycle	ROX	SYBR
      G5	7	75,374.352	538,872.312
      G6	7	78,305.172	679,660.250
      G7	7	81,892.367	676,106.562
      G8	7		
      G9	7		
      G10	7	72,646.930	465,156.156
      G11	7		
      G12	7		
      H1	7		
      H2	7	41,038.707	2,209,553.500
      H3	7	38,645.008	2,178,800.000
      H4	7		
      H5	7		
      H6	7		
      H7	7		
      H8	7		
      H9	7		
      H10	7		
      H11	7		
      H12	7		
      A1	8		
      A2	8		
      A3	8		
      A4	8	124,419.391	1,300,578.250
      A5	8	101,077.516	630,678.562
      A6	8	100,222.211	1,271,794.125
      A7	8	96,152.430	1,277,763.500
      A8	8		
      A9	8		
      A10	8	94,538.008	1,370,277.250
      A11	8		
      A12	8		
      B1	8		
      B2	8		
      B3	8		
      B4	8	104,928.508	1,038,951.438
      B5	8	94,651.812	581,742.312
      B6	8	89,005.688	1,123,344.000
      B7	8	93,488.695	1,153,522.250
      B8	8		
      B9	8		
      B10	8	84,383.023	1,232,512.500
      B11	8		
      B12	8		
      C1	8		
      C2	8		
      C3	8		
      C4	8	98,754.414	982,347.375
      C5	8	87,162.258	554,454.125
      C6	8	89,511.656	1,038,789.000
